fecha,servicio,dia,mes,anio,afluencia,mes_numerico
2022-02-16,Ecobús,16,Febrero,2022,32764,2
2022-02-16,Expdirecto,16,Febrero,2022,3045,2
2022-02-16,Expreso,16,Febrero,2022,138827,2
2022-02-16,Nochebús,16,Febrero,2022,659,2
2022-02-16,Ordinario,16,Febrero,2022,98892,2
2022-02-16,S/Metro,16,Febrero,2022,59328,2
2022-02-17,Atenea,17,Febrero,2022,17861,2
2022-02-17,Ecoatenea,17,Febrero,2022,3516,2
2022-02-17,Ecobús,17,Febrero,2022,34656,2
2022-02-17,Expdirecto,17,Febrero,2022,2863,2
2022-02-17,Expreso,17,Febrero,2022,139731,2
2022-02-17,Nochebús,17,Febrero,2022,829,2
2022-02-17,Ordinario,17,Febrero,2022,93846,2
2022-02-17,S/Metro,17,Febrero,2022,60094,2
2022-02-17,Servicios Temporales,17,Febrero,2022,2,2
2022-02-18,Atenea,18,Febrero,2022,17313,2
2022-02-18,Ecoatenea,18,Febrero,2022,1606,2
2022-02-18,Ecobús,18,Febrero,2022,35474,2
2022-02-18,Expdirecto,18,Febrero,2022,2807,2
2022-02-18,Expreso,18,Febrero,2022,138903,2
2022-02-18,Nochebús,18,Febrero,2022,1001,2
2022-02-18,Ordinario,18,Febrero,2022,90045,2
2022-02-18,S/Metro,18,Febrero,2022,58440,2
2022-02-19,Atenea,19,Febrero,2022,6913,2
2022-02-19,Ecoatenea,19,Febrero,2022,1175,2
2022-02-19,Ecobús,19,Febrero,2022,26014,2
2022-02-19,Expdirecto,19,Febrero,2022,740,2
2022-02-19,Expreso,19,Febrero,2022,86378,2
2022-02-19,Nochebús,19,Febrero,2022,1231,2
2022-02-19,Ordinario,19,Febrero,2022,60585,2
2022-02-19,S/Metro,19,Febrero,2022,47209,2
2022-02-20,Atenea,20,Febrero,2022,4366,2
2022-02-20,Ecoatenea,20,Febrero,2022,718,2
2022-02-20,Ecobús,20,Febrero,2022,17521,2
2022-02-20,Expreso,20,Febrero,2022,65062,2
2022-02-20,Nochebús,20,Febrero,2022,1202,2
2022-02-20,Ordinario,20,Febrero,2022,41002,2
2022-02-20,S/Metro,20,Febrero,2022,32110,2
2022-02-21,Atenea,21,Febrero,2022,17091,2
2022-02-21,Ecoatenea,21,Febrero,2022,2636,2
2022-02-21,Ecobús,21,Febrero,2022,34597,2
2022-02-21,Expdirecto,21,Febrero,2022,2968,2
2022-02-21,Expreso,21,Febrero,2022,142469,2
2022-02-21,Nochebús,21,Febrero,2022,642,2
2022-02-21,Ordinario,21,Febrero,2022,99875,2
2022-02-21,S/Metro,21,Febrero,2022,59884,2
2022-02-22,Atenea,22,Febrero,2022,18193,2
2022-02-22,Ecoatenea,22,Febrero,2022,3503,2
2022-02-22,Ecobús,22,Febrero,2022,34603,2
2022-02-22,Expdirecto,22,Febrero,2022,3150,2
2022-02-22,Expreso,22,Febrero,2022,140277,2
2022-02-22,Nochebús,22,Febrero,2022,701,2
2022-02-22,Ordinario,22,Febrero,2022,96593,2
2022-02-22,S/Metro,22,Febrero,2022,62087,2
2022-02-23,Atenea,23,Febrero,2022,18683,2
2022-02-23,Ecoatenea,23,Febrero,2022,2790,2
2022-02-23,Ecobús,23,Febrero,2022,35984,2
2022-02-23,Expdirecto,23,Febrero,2022,3154,2
2022-02-23,Expreso,23,Febrero,2022,149912,2
2022-02-23,Nochebús,23,Febrero,2022,665,2
2022-02-23,Ordinario,23,Febrero,2022,91466,2
2022-02-23,S/Metro,23,Febrero,2022,63524,2
2022-02-24,Atenea,24,Febrero,2022,17595,2
2022-02-24,Ecoatenea,24,Febrero,2022,3180,2
2022-02-24,Ecobús,24,Febrero,2022,36676,2
2022-02-24,Expdirecto,24,Febrero,2022,3012,2
2022-02-24,Expreso,24,Febrero,2022,145149,2
2022-02-24,Nochebús,24,Febrero,2022,840,2
2022-02-24,Ordinario,24,Febrero,2022,90816,2
2022-02-24,S/Metro,24,Febrero,2022,58553,2
2022-02-25,Atenea,25,Febrero,2022,17908,2
2022-02-25,Ecoatenea,25,Febrero,2022,3153,2
2022-02-25,Ecobús,25,Febrero,2022,36136,2
2022-02-25,Expdirecto,25,Febrero,2022,2644,2
2022-02-25,Expreso,25,Febrero,2022,130949,2
2022-02-25,Nochebús,25,Febrero,2022,998,2
2022-02-25,Ordinario,25,Febrero,2022,87373,2
2022-02-25,S/Metro,25,Febrero,2022,60097,2
